sample,n,scaffold_r2,scaffold_adj,scaffold_k,model_r2,model_adj,model_k,bench_adj,inc_scaffold,inc_model,shap_benchmark,shap_model,shap_scaffold,shap_resid,r2_full
FULL (n=185),185.0,0.04563814605021532,-0.015043821541967484,11.0,0.07877282590498669,-0.021119277310135187,18.0,-0.022549758475820747,-0.011010592057228985,-0.024841229343173454,0.021306893402426027,0.07765040444721688,0.04455251529949111,0.856490186850866,0.14350981314913402
PRIMARY  cost>=$1 (n=181),181.0,0.30956746005424507,0.26462806396310123,11.0,0.33102230676526556,0.2566914519614062,18.0,0.1967228636073277,0.12392202951818643,0.3176656443610627,0.15942888933954116,0.3392083642758036,0.23050494775140773,0.27085779863324744,0.7291422013667526
WINSORISED 2/98pct (n=185),185.0,0.20830436909154693,0.15796534053667421,11.0,0.2492561319810057,0.16785017038858463,18.0,0.1669905604317966,0.0467199238500422,0.1860189356516131,0.14027944896664074,0.23205966416613769,0.13468280448664338,0.49297808238057816,0.5070219176194218
