n,n_models,n_scaffolds,r2_full,eta_model,eta_scaffold,eta_resid,benchmark
18,10,2,0.608886743840582,0.5378705879523433,0.07101615588823867,0.39111325615941805,Online Mind2Web
28,12,3,0.8393611749792258,0.7365687503733106,0.1027924246059152,0.1606388250207742,SciCode
25,13,2,0.7618228103501908,0.6249924972041447,0.13683031314604616,0.23817718964980916,GAIA
37,18,3,0.9003836835929797,0.692975536798991,0.20740814679398867,0.09961631640702029,CORE-bench Hard
25,13,2,0.7592718753951874,0.4799206252225974,0.27935125017259,0.24072812460481263,SWE-bench Mini Verified
21,11,2,0.8028147050011727,0.47221645916040406,0.33059824584076863,0.1971852949988273,TAU-bench Airline
18,12,2,0.8405809329640943,0.4983240911317415,0.34225684183235283,0.1594190670359057,SciAgentBench
